,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA_log,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,THERMOSTAT,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,BATHROOMS,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST_log,HEAT_COST_log,WATERHEAT_COST_log,ELECT_COST_log,TOT_COST_log
5483,Detached house,Cold/Very Cold,1990-1999,8.066207568006265,Central,C: 5-9 yrs,Central furnace,0.0,0.0,1.0,1.0,4,1.5-2,2.0,Split-level,Owned,4.064057161283644,6.526802279369583,6.49817672223243,7.420788464290128,8.030311932893705
5484,Apartment in bld with 5+ units,Mixed-Humid,2000-2009,6.61472560020376,Central,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Owned,3.8008679560619836,6.022454363794726,4.30406509320417,6.518055246452355,7.094724352652802
5485,Detached house,Hot-Dry/Mixed-Dry,.<1950,6.704414354964107,Central,C: 5-9 yrs,Central heat pump,1.0,0.0,0.0,0.0,0-2,1.5-2,2.0,1,Owned,4.5966338549658055,3.5975861956675455,5.479137797215724,6.419783179345583,6.893828753534189
5486,Detached house,Hot-Humid,1960-1969,7.533158807455563,Central,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.5-2,2.0,1,Owned,5.773308537304811,5.726684867873505,5.637678284053157,6.319688574872699,7.287396468147481
5487,Detached house,Marine,1950-1959,7.109062135687172,None,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.5-2,2.0,1,Owned,0.0,5.23638876992587,4.875120984409557,6.674371979937735,7.01106068434668
5488,Apartment in bld with 5+ units,Mixed-Humid,1980-1989,7.121252453244542,Central,F: +20 yrs,Central water system,0.0,0.0,0.0,0.0,3,1.5-2,0.0,1,Rented,4.180675151973121,5.68697535633982,5.722669650374684,7.181280108923927,7.589699945034089
5489,Detached house,Cold/Very Cold,1960-1969,7.700295203420117,Central,F: +20 yrs,Central furnace,0.0,0.0,1.0,0.0,3,1.5-2,0.0,1,Owned,5.153753915356684,6.246881658972487,4.572130331909891,6.401618644702277,7.234213254135235
5490,Detached house,Hot-Dry/Mixed-Dry,1960-1969,7.356279876550748,None,F: +20 yrs,Central furnace,0.0,0.0,1.0,0.0,4,1.5-2,2.0,1,Owned,0.0,4.807130958034395,4.988866735623107,6.463388206914769,6.811662793256315
5491,Detached house,Cold/Very Cold,1990-1999,8.61558951327243,Central,A: -2 yrs,Central furnace,1.0,1.0,1.0,1.0,4,2.5-3.5,3.0,2,Owned,4.942855971674966,7.449160542980522,6.277582897583581,7.436139838379034,8.314900737169474
5492,Detached house,Hot-Humid,1950-1959,7.639642287858013,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,4,1.5-2,1.0,1,Owned,6.276568298544962,5.688025652043763,3.8768102496724017,5.858618633774553,7.108882233978439
5493,Detached house,Cold/Very Cold,1990-1999,8.554488976159934,Central,E: 15-19 yrs,Central furnace,1.0,1.0,1.0,1.0,3,2.5-3.5,2.0,1,Owned,5.086855320007665,6.061876411348347,5.539104353034841,6.961163335682753,7.5482239957238395
5494,Detached house,Marine,.<1950,7.900266036767701,Central,C: 5-9 yrs,Central heat pump,1.0,1.0,0.0,0.0,+4,1.5-2,1.0,3,Owned,4.358118089622206,6.952776444629658,5.858447307998171,7.573361669743054,8.136521178654762
5495,Apartment in bld with 5+ units,Mixed-Humid,1980-1989,6.5337888379333435,Individual,C: 5-9 yrs,Central water system,1.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Owned,4.718945200246936,5.3603057638821054,6.259447611894884,6.3676209883548065,7.263637909123173
5496,Attached house,Hot-Humid,1990-1999,6.957497370876951,Central,E: 15-19 yrs,Central furnace,0.0,1.0,1.0,0.0,3,2.5-3.5,2.0,2,Rented,5.188055972290499,5.795115057329384,6.015766839630947,7.31965298682084,7.793310476537046
