,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,THERMOSTAT,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST,HEAT_COST,WATERHEAT_COST,HOTTUB,SWIMPOOL,BATHROOMS,ELECT_COST,TOT_COST
51,Detached house,Cold/Very Cold,2010-2015,3074.0,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,4,1.0,3.0,2,Owned,43.32,2147.49,924.54,0,0.0,2.5-3.5,1323.88,4439.23
52,Detached house,Hot-Humid,.<1950,1125.0,Individual,A: -2 yrs,Other individual,0.0,0.0,0.0,0-2,,1.0,1,Owned,182.93,129.28,145.8,0,0.0,0-1,337.92,795.9300000000001
53,Detached house,Cold/Very Cold,.<1950,1008.0,Central,F: +20 yrs,Central furnace,0.0,0.0,0.0,0-2,1.0,,1,Owned,161.91,478.02,409.3,0,0.0,0-1,867.2600000000001,1916.4900000000002
54,Detached house,Cold/Very Cold,1980-1989,2608.0,None,F: +20 yrs,Central water system,0.0,1.0,1.0,3,0.0,2.0,2,Owned,0.0,1549.06,114.23,0,0.0,1.5-2,606.9,2270.19
55,Detached house,Cold/Very Cold,2010-2015,3060.0,Central,A: -2 yrs,Other individual,0.0,0.0,0.0,0-2,0.0,2.0,1,Owned,18.21,1211.49,244.83,0,0.0,1.5-2,1641.09,3115.62
56,Attached house,Hot-Dry/Mixed-Dry,1980-1989,1240.0,Central,B: 2-4 yrs,Other individual,0.0,1.0,0.0,0-2,0.0,,2,Owned,43.25,32.95,143.35,0,0.0,1.5-2,374.81,594.36
57,Attached house,Hot-Humid,1970-1979,1600.0,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,4,1.0,2.0,1,Owned,557.43,304.83,296.45,0,0.0,2.5-3.5,1144.3200000000002,2303.03
58,Detached house,Mixed-Humid,1970-1979,1272.0,Central,F: +20 yrs,Central furnace,0.0,0.0,0.0,3,0.0,1.0,1,Owned,57.53,450.44,231.29,0,0.0,1.5-2,470.95000000000005,1210.21
59,Detached house,Mixed-Humid,.<1950,1692.0,Central,F: +20 yrs,Other individual,0.0,1.0,0.0,3,0.0,,1,Rented,561.41,1177.55,213.58,0,0.0,0-1,806.2800000000001,2758.82
60,Detached house,Hot-Dry/Mixed-Dry,1980-1989,4572.0,Central,F: +20 yrs,Central furnace,1.0,1.0,0.0,4,0.0,3.0,1,Owned,375.58,371.48,429.73,0,0.0,1.5-2,837.02,2013.81
