,COOL_COST_log,HEAT_COST_log,WATERHEAT_COST_log,ELECT_COST_log,TOT_COST_log
2796,5.144524955868056,6.532319736075653,6.570476717368282,7.580674241695091,8.16880949418337
2678,3.3087165288679903,6.544185189497899,5.292299294222474,6.607717184320773,7.414048647578531
3460,5.992813636677277,5.6894468758888355,4.956882838097009,6.294121435234464,7.22751724489733
307,6.075621855114705,6.360300248393357,5.640700669769903,7.33906355704782,7.948551290406789
976,5.921417548795946,7.340031080166901,5.821861762721803,7.8129567516704075,8.459718727637767
4278,2.8437459165561094,5.648974238161206,4.3739944629766185,6.7167521461251525,7.093130501921491
303,3.3134584673541485,5.675040005790549,5.74338772924856,6.5397737992456255,7.1855612428262114
1740,5.039870419364591,5.037407044593683,5.26445029703646,5.901403068739325,6.762047193284
4650,5.887686112632808,5.608225597757984,5.448718167215562,6.988376280949754,7.5738652254736785
2040,5.520099992222905,6.367947020291664,4.582515495423285,6.42459345919862,7.342202971570338
2315,7.30097235186839,5.863574355802065,6.267731716744463,7.2071485073619295,8.217988993489064
3184,7.498432207489908,5.6490094488089095,5.227358277607543,7.173490777525765,8.18225457819325
1988,6.117854877935304,6.4988091190373165,4.8247072417081895,6.55558446193169,7.571962715644375
4145,5.718342625987531,5.778828102311668,5.507767590730244,7.258214948053571,7.736787330562447
2091,4.771277668919018,6.864513692943113,5.443802033290019,6.653391921723182,7.6398731414401535
4160,0.0,0.0,5.125034834404752,5.759564015114963,6.1828903673700575
4887,4.335066045810379,4.730745008896157,5.062595033026967,6.160510876701907,6.707326776411143
615,0.0,6.150368199359278,5.316206399383778,6.726233402358747,7.3162158960701005
289,4.836361268881602,6.483367256516873,4.512287058508036,5.929562547291541,7.126328401781587
5583,6.604472140301706,4.876799093117625,4.746930131025923,6.326918408217976,7.34035554269757
5450,4.660794089736088,5.088090040500373,6.9844107178711,7.872028229678147,8.28585364450249
5356,6.037608355622213,6.530761002849668,6.556451598233031,7.839557089676198,8.376702783774673
4771,4.463606621666305,6.326918408217976,5.62181291178895,7.0151646942109585,7.617272732455403
5207,5.072169306213529,5.7175538787401186,5.880449184006697,7.014850289533621,7.566150546411562
